profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,profile_12,profile_13,profile_14,profile_15,profile_16,profile_17,profile_18,profile_19,profile_20,profile_21,profile_22,profile_23,profile_24,profile_25,profile_26,profile_27,profile_28,profile_29,profile_30,profile_31,profile_32,profile_33,profile_34,profile_35,profile_36,profile_37,profile_38,profile_39,profile_40,profile_41,profile_42,profile_43,profile_44,profile_45,profile_46,profile_47,profile_48,profile_49,profile_50,profile_51,profile_52,profile_53,profile_54,profile_55,profile_56,profile_57,profile_58,profile_59,profile_60,profile_61,profile_62,profile_63,profile_64,profile_65,profile_66,profile_67,profile_68,profile_69,profile_70,profile_71,profile_72,profile_73,profile_74,profile_75,profile_76,profile_77,profile_78,profile_79,profile_80,profile_81,profile_82,profile_83,profile_84,profile_85,profile_86,profile_87,profile_88,profile_89,profile_90,profile_91,profile_92,profile_93,profile_94,profile_95,profile_96,profile_97,profile_98,profile_99,profile_100,profile_101,profile_102,profile_103,profile_104,profile_105,profile_106,profile_107,profile_108,profile_109,profile_110,profile_111,profile_112,profile_113,profile_114,profile_115,profile_116,profile_117,profile_118,profile_119,profile_120,profile_121,profile_122,profile_123,profile_124,profile_125,profile_126,profile_127,profile_128,profile_129,profile_130,profile_131,profile_132,profile_133,profile_134,profile_135,profile_136,profile_137,profile_138,profile_139,profile_140,profile_141,profile_142,profile_143,profile_144,profile_145,profile_146,profile_147,profile_148,profile_149,profile_150,profile_151,profile_152,profile_153,profile_154,profile_155,profile_156,profile_157,profile_158,profile_159,profile_160,profile_161,profile_162,profile_163,profile_164,profile_165,profile_166,profile_167,profile_168,profile_169,profile_170,profile_171,profile_172,profile_173,profile_174,profile_175,profile_176,profile_177,profile_178,profile_179,profile_180,profile_181,profile_182,profile_183,profile_184,profile_185,profile_186,profile_187,profile_188,profile_189,profile_190,profile_191,profile_192,profile_193,profile_194,profile_195,profile_196,profile_197,profile_198,profile_199,profile_200
0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.332607891,0.351287012,0.338250017,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.351287012,0.338250017,0.329596073,0.332607891,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776842036,0.812855237,0.776546946,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.812855237,0.776546946,0.868273776,0.776842036,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.745768354,0.804726685,0.753250538,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.804726685,0.753250538,0.850908301,0.745768354,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.768995147,0.796266355,0.801069481,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147,0.796266355,0.801069481,0.895407332,0.768995147
1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,0.983131734,1.0,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,1.0,1.0,0.996270196,0.983131734,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.973300417,0.98,0.95,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.98,0.95,0.956419388,0.973300417,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9343684,0.9702,0.9215,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.9702,0.9215,0.937291,0.9343684,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.9634691,0.96,0.98,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691,0.96,0.98,0.986307494,0.9634691
0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,1.0,0.999123875,0.995673695,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.999123875,0.995673695,1.0,1.0,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.99,0.979141397,0.94589001,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.979141397,0.94589001,0.96,0.99,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.9504,0.969349983,0.91751331,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.969349983,0.91751331,0.9408,0.9504,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.98,0.95915892,0.975760221,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.99,0.98,0.95915892,0.975760221,0.99,0.98,0.95915892,0.975760221,0.99,0.98
0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.981959462,0.968493216,0.967407742,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.968493216,0.967407742,0.955406491,0.981959462,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.972139867,0.949123351,0.919037355,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.949123351,0.919037355,0.917190232,0.972139867,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.933254272,0.939632118,0.891466234,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.939632118,0.891466234,0.898846427,0.933254272,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.962320272,0.929753487,0.948059587,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272,0.929753487,0.948059587,0.945852426,0.962320272
0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.94977588,0.9118873,0.938354997,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.9118873,0.938354997,0.923969121,0.94977588,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.940278122,0.893649554,0.891437247,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.893649554,0.891437247,0.887010356,0.940278122,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.902666997,0.884713058,0.86469413,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.884713058,0.86469413,0.869270149,0.902666997,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.930780363,0.875411808,0.919587897,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363,0.875411808,0.919587897,0.91472943,0.930780363
0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.911734704,0.905463724,0.909874561,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.905463724,0.909874561,0.898782701,0.911734704,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.902617356,0.887354449,0.864380833,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.887354449,0.864380833,0.862831393,0.902617356,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.866512662,0.878480905,0.838449408,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.878480905,0.838449408,0.845574765,0.866512662,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.893500009,0.869245175,0.89167707,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009,0.869245175,0.89167707,0.889794874,0.893500009
0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.878936053,0.879026864,0.880976684,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.879026864,0.880976684,0.87969536,0.878936053,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.870146692,0.861446326,0.83692785,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.861446326,0.83692785,0.844507546,0.870146692,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.835340824,0.852831863,0.811820014,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.852831863,0.811820014,0.827617395,0.835340824,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.861357332,0.843865789,0.86335715,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332,0.843865789,0.86335715,0.870898406,0.861357332
0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.456032106,0.433591423,0.43190163,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.433591423,0.43190163,0.446757302,0.456032106,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.451471785,0.424919594,0.410306549,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.424919594,0.410306549,0.42888701,0.451471785,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.433412914,0.420670398,0.397997352,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.420670398,0.397997352,0.42030927,0.433412914,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.446911464,0.416247766,0.423263597,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464,0.416247766,0.423263597,0.442289729,0.446911464
0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.434508932,0.399474098,0.397962401,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.399474098,0.397962401,0.423717407,0.434508932,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.430163843,0.391484616,0.378064281,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.391484616,0.378064281,0.40676871,0.430163843,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.412957289,0.38756977,0.366722352,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.38756977,0.366722352,0.398633336,0.412957289,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.425818754,0.383495134,0.390003153,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754,0.383495134,0.390003153,0.419480232,0.425818754
0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.353099988,0.325066357,0.331308801,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.325066357,0.331308801,0.319485508,0.353099988,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.349568988,0.31856503,0.314743361,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.31856503,0.314743361,0.306706088,0.349568988,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.335586228,0.315379379,0.305301061,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.315379379,0.305301061,0.300571966,0.335586228,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.346037988,0.312063702,0.324682625,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988,0.312063702,0.324682625,0.316290653,0.346037988
