profile_1,profile_2,profile_3,profile_4,profile_5
0.55,0.22,0.3,0.2,0.05
0.22,0.22,0.2,0.2,0.1
0.22,0.22,0.2,0.2,0.16
0.22,0.22,0.2,0.2,0.19
0.22,0.22,0.2,0.2,0.21
0.22,0.22,0.2,0.2,0.23
0.22,0.22,0.2,0.2,0.27
0.88,0.88,0.5,0.5,0.31
0.88,0.88,0.5,0.5,0.35
0.88,0.88,0.5,0.5,0.19
0.88,0.88,0.5,0.5,0.14
0.55,0.55,0.3,0.3,0.12
0.55,0.55,0.3,0.3,0.09
0.55,0.55,0.3,0.3,0.08
0.55,0.55,0.3,0.3,0.04
0.55,0.55,0.3,0.3,0.06
0.55,0.55,0.3,0.3,0.13
0.55,0.55,0.3,0.3,0.15
0.55,0.55,0.3,0.3,0.36
0.88,0.88,0.5,0.5,0.26
0.88,0.88,0.5,0.5,0.21
0.88,0.88,0.5,0.5,0.16
0.88,0.88,0.5,0.5,0.19
0.22,0.22,0.2,0.2,0.05
