profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.19,0.19,0.19,0.19,0.19,0.14,0.14,0.14,0.14,0.14
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
